,CH1,CH2,CH3,CH4
Second,Volt,Volt,Volt,Volt
-8.18944E-03,-5.76000E+00,5.84000E+00,-8.00000E-02,0.00000E+00
-8.18744E-03,-5.76000E+00,5.84000E+00,-8.00000E-02,0.00000E+00
-8.18544E-03,-5.76000E+00,5.84000E+00,-8.00000E-02,0.00000E+00
-8.18344E-03,-5.76000E+00,5.84000E+00,-8.00000E-02,0.00000E+00
-8.18144E-03,-5.76000E+00,5.84000E+00,-8.00000E-02,0.00000E+00
-8.17944E-03,-5.76000E+00,5.84000E+00,-8.00000E-02,0.00000E+00
-8.17744E-03,-5.76000E+00,5.84000E+00,-8.00000E-02,0.00000E+00
-8.17544E-03,-5.76000E+00,5.84000E+00,-8.00000E-02,0.00000E+00
-8.17344E-03,-5.84000E+00,5.84000E+00,-8.00000E-02,0.00000E+00
-8.17144E-03,-5.84000E+00,5.92000E+00,-8.00000E-02,0.00000E+00
-8.16944E-03,-5.84000E+00,5.84000E+00,-8.00000E-02,0.00000E+00
-8.16744E-03,-5.84000E+00,5.84000E+00,-8.00000E-02,0.00000E+00
-8.16544E-03,-5.84000E+00,5.92000E+00,-8.00000E-02,0.00000E+00
-8.16344E-03,-5.84000E+00,5.84000E+00,-8.00000E-02,0.00000E+00
-8.16144E-03,-5.84000E+00,5.84000E+00,-8.00000E-02,0.00000E+00
-8.15944E-03,-5.84000E+00,5.84000E+00,-8.00000E-02,0.00000E+00
-8.15744E-03,-5.84000E+00,5.84000E+00,-8.00000E-02,0.00000E+00
-8.15544E-03,-5.84000E+00,5.84000E+00,-8.00000E-02,0.00000E+00
-8.15344E-03,-5.84000E+00,5.92000E+00,-8.00000E-02,0.00000E+00
-8.15144E-03,-5.84000E+00,5.84000E+00,-8.00000E-02,0.00000E+00
-8.14944E-03,-5.84000E+00,5.84000E+00,-8.00000E-02,0.00000E+00
-8.14744E-03,-5.92000E+00,5.84000E+00,-8.00000E-02,0.00000E+00
-8.14544E-03,-5.92000E+00,5.92000E+00,-8.00000E-02,0.00000E+00
-8.14344E-03,-5.92000E+00,5.84000E+00,-8.00000E-02,0.00000E+00
-8.14144E-03,-5.92000E+00,5.84000E+00,-8.00000E-02,8.00000E-02
-8.13944E-03,-5.92000E+00,5.84000E+00,0.00000E+00,0.00000E+00
-8.13744E-03,-5.92000E+00,5.84000E+00,-8.00000E-02,8.00000E-02
-8.13544E-03,-5.92000E+00,5.84000E+00,-8.00000E-02,0.00000E+00
-8.13344E-03,-5.92000E+00,5.84000E+00,-8.00000E-02,0.00000E+00
-8.13144E-03,-5.92000E+00,5.84000E+00,0.00000E+00,0.00000E+00
-8.12944E-03,-5.92000E+00,5.84000E+00,-8.00000E-02,0.00000E+00
